Customer_ID,Age,Gender,Monthly_Charges,Tenure_Months,Internet_Service,Contract_Type,Support_Calls,Payment_Method,Churn
10001,56,Male,85.92,55,Cable,Two Year,7,Credit Card,Yes
10002,69,Female,44.43,62,DSL,One Year,7,Cash,No
10003,46,Male,30.01,55,Fiber,One Year,2,Cash,No
10004,32,Male,110.5,36,DSL,Month-to-Month,3,Cash,Yes
10005,60,Female,69.76,24,Cable,Two Year,1,Credit Card,No
10006,25,Male,126.84,44,Fiber,One Year,1,E-Wallet,No
10007,38,Male,105.74,17,Cable,Month-to-Month,3,E-Wallet,Yes
10008,56,Female,123.51,2,DSL,Two Year,5,E-Wallet,Yes
10009,36,Male,55.35,13,Fiber,Month-to-Month,4,Credit Card,Yes
10010,40,Female,110.01,31,Fiber,Month-to-Month,0,Credit Card,Yes
10011,28,Female,54.33,28,Fiber,Month-to-Month,9,Credit Card,Yes
10012,28,Female,142.08,60,Fiber,Month-to-Month,0,Credit Card,Yes
10013,41,Female,102.73,27,DSL,Month-to-Month,5,Credit Card,Yes
10014,53,Female,62.19,15,Fiber,Month-to-Month,2,E-Wallet,No
10015,57,Male,55.04,33,Cable,Month-to-Month,2,Credit Card,No
10016,41,Male,44.82,20,Fiber,Two Year,6,E-Wallet,No
10017,20,Female,110.3,42,DSL,Two Year,0,Credit Card,Yes
10018,39,Female,48.43,12,Fiber,Month-to-Month,0,E-Wallet,No
10019,19,Male,97.39,23,DSL,Two Year,9,Bank Transfer,No
10020,41,Female,54.4,14,DSL,Month-to-Month,2,Bank Transfer,No
10021,61,Female,106.06,25,Cable,Two Year,7,E-Wallet,No
10022,47,Female,125.94,31,Fiber,One Year,0,Bank Transfer,No
10023,55,Male,121.14,54,Fiber,Month-to-Month,9,Bank Transfer,Yes
10024,19,Male,118.91,5,Fiber,One Year,3,E-Wallet,Yes
10025,38,Female,44.4,13,Cable,Month-to-Month,8,Credit Card,Yes
10026,50,Female,31.49,28,Cable,Month-to-Month,3,Credit Card,No
10027,29,Male,110.86,43,DSL,One Year,9,E-Wallet,Yes
10028,39,Male,67.89,47,DSL,One Year,7,Cash,No
10029,61,Female,76.21,71,DSL,One Year,6,Cash,No
10030,42,Female,24.05,38,Cable,Month-to-Month,2,Bank Transfer,No
10031,66,Male,53.74,67,Cable,One Year,6,Cash,Yes
10032,44,Male,24.38,62,Cable,One Year,6,Bank Transfer,No
